公開ステータス(ID),商品コード,商品名,催事コード,部門コード,販売価格,通常価格,税率,商品説明(一覧),商品説明(詳細),店舗コード,在庫数,在庫数無制限フラグ,販売制限数,商品画像
1,111111114,クリストフ・パカレ　ボジョレーヌーボー　赤,2101,85,3500,,10,750ml,,,36,,,
1,111111115,新井順子　ボジョレーヌーボー　赤,2101,85,3400,,10,750ml,,,36,,,
1,111111116,ドメーヌ・シャスレイ　ボジョレーヌーボー　赤,2101,85,3700,,10,750ml,,,24,,,
1,111111117,ピエール・ラモット　ボジョレーヌーボー　赤,2101,85,2800,,10,750ml,,,24,,,
1,111111118,フレデリック・メニエ　ナチュール　赤,2101,85,3200,,10,750ml,,,24,,,
1,111111119,自家製シュリンプカクテル,2101,33,880,,8,1~2人前,,052,,1,,
1,111111119,自家製シュリンプカクテル,2101,33,880,,8,1~2人前,,053,,1,,
1,111111119,自家製シュリンプカクテル,2101,33,880,,8,1~2人前,,053,,1,,
1,111111119,自家製シュリンプカクテル,2101,33,880,,8,1~2人前,,055,,1,,
1,111111119,自家製シュリンプカクテル,2101,33,880,,8,1~2人前,,056,,1,,
